time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
16.500000,UT,3,FORWARD_USER_CH,0,18,24.631330,184.016136,0.000000,-81.146079,24.631330,450
16.500000,UT,4,FORWARD_USER_CH,0,19,23.507172,182.186541,0.000000,-94.119873,23.507172,420
16.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
16.500000,GW,1,RETURN_FEEDER_CH,0,1,21.884728,183.709626,0.000000,-85.685123,21.884728,630
16.500000,GW,2,RETURN_FEEDER_CH,0,2,21.723075,185.028635,0.000000,-89.572930,21.723075,1050
17.000000,UT,1,FORWARD_USER_CH,0,18,24.650813,183.625918,0.000000,-79.687167,24.650813,450
17.000000,UT,2,FORWARD_USER_CH,0,31,24.651539,183.049635,0.000000,-79.622212,24.651539,450
17.000000,UT,3,FORWARD_USER_CH,0,18,24.631803,184.005357,0.000000,-81.115815,24.631803,450
17.000000,UT,4,FORWARD_USER_CH,0,19,23.490252,182.170207,0.000000,-94.189894,23.490252,420
17.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
17.000000,GW,1,RETURN_FEEDER_CH,0,1,21.882458,183.707018,0.000000,-85.770927,21.882458,660
17.000000,GW,2,RETURN_FEEDER_CH,0,2,21.713979,185.029252,0.000000,-89.717881,21.713979,1080
17.500000,UT,1,FORWARD_USER_CH,0,18,24.650992,183.615639,0.000000,-79.671270,24.650992,480
17.500000,UT,2,FORWARD_USER_CH,0,31,24.652373,183.039030,0.000000,-79.546439,24.652373,480
17.500000,UT,3,FORWARD_USER_CH,0,18,24.632269,183.994603,0.000000,-81.085794,24.632269,480
17.500000,UT,4,FORWARD_USER_CH,0,19,23.480202,182.153891,0.000000,-94.231081,23.480202,450
17.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
17.500000,GW,1,RETURN_FEEDER_CH,0,1,21.880091,183.704437,0.000000,-85.858731,21.880091,690
17.500000,GW,2,RETURN_FEEDER_CH,0,2,21.704363,185.029887,0.000000,-89.866360,21.704363,1110
18.000000,UT,1,FORWARD_USER_CH,0,18,24.651161,183.605368,0.000000,-79.656139,24.651161,480
18.000000,UT,2,FORWARD_USER_CH,0,31,24.653189,183.028437,0.000000,-79.470974,24.653189,480
18.000000,UT,3,FORWARD_USER_CH,0,18,24.632732,183.983852,0.000000,-81.055771,24.632732,480
18.000000,UT,4,FORWARD_USER_CH,0,19,23.469210,182.137560,0.000000,-94.275794,23.469210,450
18.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
18.000000,GW,1,RETURN_FEEDER_CH,0,1,21.877613,183.701880,0.000000,-85.948800,21.877613,720
18.000000,GW,2,RETURN_FEEDER_CH,0,2,21.694160,185.030540,0.000000,-90.018877,21.694160,1140
18.500000,UT,1,FORWARD_USER_CH,0,18,24.651299,183.595106,0.000000,-79.643818,24.651299,510
18.500000,UT,2,FORWARD_USER_CH,0,31,24.654012,183.017855,0.000000,-79.393522,24.654012,510
18.500000,UT,3,FORWARD_USER_CH,0,18,24.633226,183.973105,0.000000,-81.023531,24.633226,510
18.500000,UT,4,FORWARD_USER_CH,0,19,23.455429,182.121216,0.000000,-94.331369,23.455429,480
18.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
18.500000,GW,1,RETURN_FEEDER_CH,0,1,21.875018,183.699347,0.000000,-86.041241,21.875018,750
18.500000,GW,2,RETURN_FEEDER_CH,0,2,21.683315,185.031211,0.000000,-90.175683,21.683315,1170
19.000000,UT,1,FORWARD_USER_CH,0,18,24.651434,183.584853,0.000000,-79.631698,24.651434,510
19.000000,UT,2,FORWARD_USER_CH,0,31,24.654816,183.007284,0.000000,-79.316529,24.654816,510
